CustomerID,cluster
12347.0,2
12348.0,1
12350.0,1
12352.0,1
12353.0,1
12354.0,1
12355.0,1
12358.0,1
12360.0,2
12361.0,1
12362.0,2
12363.0,1
12364.0,1
12365.0,1
12367.0,1
12370.0,2
12372.0,1
12373.0,1
12374.0,1
12375.0,1
12379.0,1
12380.0,2
12381.0,2
12383.0,1
12384.0,1
12386.0,1
12388.0,2
12390.0,1
12391.0,1
12393.0,1
12394.0,1
12395.0,2
12397.0,2
12399.0,1
12401.0,1
12402.0,1
12403.0,1
12407.0,1
12408.0,2
12410.0,1
12412.0,1
12413.0,1
12414.0,1
12417.0,2
12418.0,1
12420.0,1
12421.0,1
12422.0,1
12423.0,2
12425.0,1
12426.0,1
12427.0,1
12429.0,2
12430.0,1
12431.0,2
12434.0,1
12436.0,1
12437.0,2
12441.0,1
12442.0,1
12444.0,2
12445.0,1
12446.0,1
12447.0,1
12448.0,1
12449.0,2
12450.0,1
12452.0,1
12453.0,1
12455.0,2
12456.0,2
12457.0,2
12458.0,1
12461.0,1
12462.0,1
12463.0,1
12464.0,1
12465.0,1
12468.0,1
12473.0,2
12475.0,1
12478.0,1
12479.0,1
12480.0,2
12481.0,2
12483.0,2
12484.0,2
12488.0,1
12489.0,1
12490.0,2
12491.0,1
12492.0,1
12493.0,1
12494.0,2
12497.0,1
12498.0,1
12500.0,2
12502.0,2
12504.0,1
12506.0,1
12507.0,1
12508.0,1
12509.0,1
12510.0,1
12512.0,1
12513.0,1
12515.0,1
12516.0,1
12517.0,2
12518.0,1
12519.0,1
12520.0,2
12521.0,1
12522.0,1
12523.0,2
12524.0,2
12526.0,1
12527.0,1
12528.0,1
12530.0,1
12531.0,1
12532.0,1
12534.0,1
12535.0,1
12538.0,1
12541.0,1
12544.0,1
12545.0,1
12546.0,1
12547.0,1
12548.0,1
12550.0,1
12551.0,1
12552.0,1
12553.0,2
12556.0,1
12558.0,1
12559.0,1
12560.0,2
12561.0,1
12562.0,2
12564.0,1
12565.0,1
12566.0,1
12569.0,2
12571.0,1
12572.0,1
12573.0,1
12574.0,1
12576.0,1
12577.0,1
12578.0,2
12579.0,1
12580.0,1
12581.0,1
12582.0,1
12584.0,2
12585.0,2
12586.0,1
12587.0,1
12588.0,1
12589.0,1
12591.0,1
12592.0,1
12593.0,1
12594.0,2
12596.0,1
12597.0,2
12598.0,2
12599.0,1
12600.0,1
12601.0,1
12602.0,1
12604.0,1
12609.0,1
12610.0,2
12611.0,1
12612.0,1
12613.0,2
12614.0,1
12615.0,1
12616.0,1
12617.0,1
12618.0,1
12619.0,2
12620.0,1
12622.0,1
12623.0,1
12624.0,1
12625.0,2
12627.0,2
12628.0,1
12630.0,1
12631.0,1
12633.0,2
12635.0,1
12638.0,1
12639.0,1
12640.0,1
12641.0,1
12642.0,1
12643.0,2
12644.0,1
12645.0,2
12646.0,1
12647.0,2
12648.0,1
12649.0,1
12650.0,1
12651.0,1
12652.0,1
12653.0,2
12654.0,1
12656.0,2
12657.0,2
12658.0,1
12659.0,1
12660.0,1
12662.0,2
12664.0,2
12665.0,1
12667.0,1
12668.0,2
12669.0,2
12670.0,2
12672.0,1
12673.0,1
12674.0,2
12676.0,1
12679.0,2
12680.0,1
12684.0,2
12685.0,2
12686.0,1
12689.0,1
12690.0,1
12691.0,1
12693.0,1
12694.0,1
12695.0,1
12697.0,1
12701.0,1
12702.0,1
12703.0,1
12704.0,1
12707.0,1
12710.0,1
12712.0,2
12713.0,1
12714.0,2
12715.0,1
12716.0,1
12717.0,1
12718.0,1
12719.0,1
12721.0,2
12722.0,1
12723.0,1
12724.0,1
12725.0,1
12726.0,2
12727.0,2
12728.0,1
12729.0,1
12732.0,1
